   5.0000000e+00	   1.9382549e+05	   1.1888249e+06	             NaN	   2.0361673e-01	
   5.5033557e+00	   2.9650991e+05	   1.1461244e+06	   2.0361673e-01	   2.0427949e-01	
   6.0067114e+00	   4.0774182e+05	   9.6240976e+05	   2.0427949e-01	   2.6909448e-01	
   6.5100671e+00	   6.5164171e+05	   8.1187112e+05	   2.6909448e-01	   2.7071221e-01	
   7.0134228e+00	   7.4279486e+05	   7.4467972e+05	   2.7071221e-01	   3.4681304e-01	
   7.5167785e+00	   6.8194477e+05	   6.5740532e+05	   3.4681304e-01	   3.4966988e-01	
   8.0201342e+00	   4.4975594e+05	   5.5380277e+05	   3.4966988e-01	   4.3583317e-01	
   8.5234899e+00	   2.6445942e+05	   5.4988977e+05	   4.3583317e-01	   4.4027292e-01	
   9.0268456e+00	   9.9235144e+04	   5.0207091e+05	   4.4027292e-01	   5.3785143e-01	
   9.5302013e+00	   4.8640389e+04	   4.1715160e+05	   5.3128750e-01	   5.5163950e-01	
   1.0033557e+01	   0.0000000e+00	   3.7617449e+05	   5.4326973e-01	   6.5206856e-01	
   1.0536913e+01	   0.0000000e+00	   3.5547403e+05	   6.2612585e-01	   6.8603578e-01	
   1.1040268e+01	   0.0000000e+00	   3.6385042e+05	   6.5663474e-01	   7.7868537e-01	
   1.1543624e+01	   0.0000000e+00	   2.7083879e+05	   7.3413670e-01	   8.3052501e-01	
   1.2046980e+01	   0.0000000e+00	   2.7614235e+05	   7.8185159e-01	   9.1632291e-01	
   1.2550336e+01	   0.0000000e+00	   2.6557704e+05	   8.5462472e-01	   9.8342599e-01	
   1.3053691e+01	   4.7266363e+03	   2.2480762e+05	   9.1764403e-01	   1.0707910e+00	
   1.3557047e+01	   0.0000000e+00	   2.2917449e+05	   9.8631863e-01	   1.1471640e+00	
   1.4060403e+01	   0.0000000e+00	   2.1430500e+05	   1.0556329e+00	   1.2481547e+00	
   1.4563758e+01	   0.0000000e+00	   1.9635055e+05	   1.1271321e+00	   1.3244557e+00	
   1.5067114e+01	   0.0000000e+00	   1.9306818e+05	   1.1940589e+00	   1.4383630e+00	
   1.5570470e+01	   0.0000000e+00	   1.6575529e+05	   1.2805236e+00	   1.5122156e+00	
   1.6073826e+01	   0.0000000e+00	   1.5967787e+05	   1.3474390e+00	   1.6378683e+00	
   1.6577181e+01	   0.0000000e+00	   1.6470390e+05	   1.4465497e+00	   1.7279783e+00	
